date,year,time_window,sector,energy_type,value_trillion_btu
1980-09-01,1980,1973-1989,residential,biomass,69.672
1980-10-01,1980,1973-1989,residential,biomass,71.995
1980-10-01,1980,1973-1989,electric power,biomass,0.425
1980-10-01,1980,1973-1989,commercial,biomass,1.779
1980-10-01,1980,1973-1989,industrial,biomass,135.519
1980-10-01,1980,1973-1989,transportation,biomass,0
1980-11-01,1980,1973-1989,electric power,biomass,0.404
1980-11-01,1980,1973-1989,transportation,biomass,0
1980-11-01,1980,1973-1989,industrial,biomass,131.148
1980-11-01,1980,1973-1989,commercial,biomass,1.721
1980-11-01,1980,1973-1989,residential,biomass,69.672
1980-12-01,1980,1973-1989,commercial,biomass,1.779
1980-12-01,1980,1973-1989,industrial,biomass,135.519
1980-12-01,1980,1973-1989,residential,biomass,71.995
1980-12-01,1980,1973-1989,electric power,biomass,0.379
1980-12-01,1980,1973-1989,transportation,biomass,0
1981-01-01,1981,1973-1989,residential,biomass,73.89
1981-01-01,1981,1973-1989,transportation,biomass,0.571
1981-01-01,1981,1973-1989,electric power,biomass,0.364
1981-01-01,1981,1973-1989,commercial,biomass,1.788
1981-01-01,1981,1973-1989,industrial,biomass,143.93
1981-02-01,1981,1973-1989,residential,biomass,66.74
1981-02-01,1981,1973-1989,industrial,biomass,130.002
1981-02-01,1981,1973-1989,transportation,biomass,0.516
1981-02-01,1981,1973-1989,commercial,biomass,1.615
1981-02-01,1981,1973-1989,electric power,biomass,0.376
1981-03-01,1981,1973-1989,electric power,biomass,0.415
1981-03-01,1981,1973-1989,commercial,biomass,1.788
1981-03-01,1981,1973-1989,residential,biomass,73.89
1981-03-01,1981,1973-1989,industrial,biomass,143.93
1981-03-01,1981,1973-1989,transportation,biomass,0.571
1981-04-01,1981,1973-1989,residential,biomass,71.507
1981-04-01,1981,1973-1989,electric power,biomass,0.39
1981-04-01,1981,1973-1989,industrial,biomass,139.288
1981-04-01,1981,1973-1989,commercial,biomass,1.73
1981-04-01,1981,1973-1989,transportation,biomass,0.553
1981-05-01,1981,1973-1989,industrial,biomass,143.93
1981-05-01,1981,1973-1989,residential,biomass,73.89
1981-05-01,1981,1973-1989,electric power,biomass,0.253
1981-05-01,1981,1973-1989,transportation,biomass,0.571
1981-05-01,1981,1973-1989,commercial,biomass,1.788
